address,totalVSCPackets,effectedVSCPackets
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,666,666
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,250,249
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,244,244
cosmos1x3ds46zredsuqh6nlcp8pxy62apt0zl2aa2x7c,164,164
cosmos1auqwystavvfyslllf3tp56ekj0ad4vsfpnxf8x,59,59
cosmos1zle48pm0knwpdevl2fl2ay2pk3dq5c07r9fk73,55,55
cosmos1krrxd6pslcl4xt08y72dz8xs40j2cae38jt700,30,30
cosmos1w2f2lyz0nkth5j0zqhspryeguapgmas9gefjcm,30,30
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,21,21
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,20,20
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,18,18
cosmos1j6d87t7ynqtq6us45nyqzjkvem2zz902vqajxy,9,9
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,5,5
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,4,4
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,4,4
cosmos1mxves3jchrjertqjlrgypzlfwrd4v626nd4n37,3,3
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,1,1
cosmos1jhnap89pyxmm3uuzg9hvph3rk8am5cp6ad4meh,1,1
